Actual_2024_Fatalities,RF_Predicted_Fatalities,ANN_Predicted_Fatalities,Actual_Risk_Level,Predicted_Risk_Level
1090,732,953,Medium,Medium
75,277,1300,Medium,Medium
226,228,1765,Low,Low
0,126,2476,Low,Low
4759,5149,4673,Medium,Medium
3880,3893,1153,Medium,Medium
1551,931,3104,High,High
72,180,2471,Low,Low
7949,8383,13875,High,High
4114,3962,3283,High,High
