Model,MAE,RMSE,R2_Score
CSA Optimized Random Forest Regressor,134.90170977313795,220.8569518322066,0.9925215877443611
CSA Optimized ANN Regressor,557.636609966363,1068.5440839266269,0.8249459580859978
