Model,MAE,RMSE,R2_Score
AIS Optimized Random Forest Regressor,122.01195293910037,148.71092942405494,0.9966094275378908
AIS Optimized ANN Regressor,263.2233064530991,391.98429827615956,0.9764427497111201
